Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Sphaerobismoite,Sphaerobismoite,Bi^3+^_2_O_3_,Bi O,, ,tetragonal,"P-42_1c|P-4b2, C-42b",358.9,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",7,Oxides and Hydroxides
Sphalerite,Sphalerite,Zn^2+^S^2-^,Zn S,R040136 R050005 R050140 R050237 R060005 R060636 R100145,Sphalerite,cubic,F-43m,4620.0,"Abiotic, Biotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, PM15 - Black smokers, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Spheniscidite,Spheniscidite,(N^3-^H_4_)Fe^3+^_2_(PO_4_)_2_(OH)·2H_2_O,N H Fe P O,,Leucophosphite,monoclinic,P2_1/n,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals",0,Unclassified
Spherocobaltite,Spherocobaltite,Co^2+^CO_3_,Co C O,R060497 R140338, ,hexagonal,R-3c,2223.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",7,Oxides and Hydroxides
Spinel,Spinel,MgAl_2_O_4_,Mg Al O,R050184 R050259 R050411 R050392 R060798 R060799 R070013 RS549903 RS886298 R100133 R110101 R120116,Spinel,cubic,Fd3m|Fd-3m,4700.0,"Abiotic, Primary, Secondary; Stage 0: Pre-terrestrial Ur-minerals, PM1 - Stellar atmosphere condensates, Stage 1: Primary nebular phases, PM3 - Solar nebular condensates, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism",7,Oxides and Hydroxides
Spionkopite,Spionkopite,Cu_1.32_S,Cu S,, ,,,2742.0,"Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, PM15 - Black smokers, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Spiridonovite,Spiridonovite,"(Cu^1+^_1-x_Ag^1+^_x_)_2_Te^2-^, (x≈0.4)",Cu Ag Te,,Fluorite,hexagonal,P-3c1,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Spiroffite,Spiroffite,Mn^2+^_2_Te^4+^_3_O_8_,Mn Te O,R070744, ,monoclinic,C2/c,145.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Spodumene,Spodumene,LiAlSi_2_O_6_,Li Al Si O,R040050 R050252 R060039,Pyroxene,monoclinic,C2/c,3077.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",16,Silicates Containing Aluminum and other Metals
Spriggite,Spriggite,Pb^2+^_3_(U^6+^O_2_)_6_O_8_(OH)_2_·3H_2_O,Pb U O H,, ,monoclinic,C2/c,394.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Springcreekite,Springcreekite,BaV^3+^_3_(PO_4_)(PO_3_OH)(OH)_6_,Ba V P O H,,Alunite-crandallite,hexagonal,R-3m,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration",0,Unclassified
Spryite,Spryite,Ag^1+^_8_(As^3+^_0.5_As^5+^_0.5_)S^2-^_6_,Ag As S,,Argyrodite,orthorhombic,Pna2_1,24.5,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Spurrite,Spurrite,Ca_5_(SiO_4_)_2_(CO_3_),Ca Si O C,R050236 R070632,Spurrite-Afwillite,monoclinic,P2_1/a,1750.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",11,Carbonates
Srebrodolskite,Srebrodolskite,Ca_2_Fe^3+^_2_O_5_,Ca Fe O,R130096,"Perovskite, Brownmillerite",orthorhombic,Pnma|Pcmn,411.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, PM51 - Pyrometamorphic minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals, PM56 - Slag and smelter minerals",7,Oxides and Hydroxides
