Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Fillowite,Fillowite,Na_3_CaMn^2+^_11_(PO_4_)_9_,Na Ca Mn P O,R110143,Fillowite,hexagonal,R-3,2772.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Finchite,Finchite,Sr(U^6+^O_2_)_2_(V^5+^_2_O_8_)·5H_2_O,Sr U O V H,,Fritzscheite,orthorhombic,Pbcn,32.6,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Finescreekite,Finescreekite,[Pb^2+^_4_(OH)_4_](S_2_O_3_)^2-^_2_,Pb O H S,, ,orthorhombic,P2_12_12_1,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Fingerite,Fingerite,Cu^2+^_11_O_2_(V^5+^O_4_)_6_,Cu O V,R070614, ,triclinic,P-1,,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",7,Oxides and Hydroxides
Finnemanite,Finnemanite,Pb^2+^_5_(As^3+^O_3_)_3_Cl,Pb As O Cl,R140335 R140329,Apatite,hexagonal,P6_3/m|P6_3,1898.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Fischesserite,Fischesserite,Ag_3_AuSe_2_,Ag Au Se,, ,cubic,I4_132,2716.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits",0,Unclassified
Fivegite,Fivegite,K_4_Ca_2_[AlSi_7_O_17_(O_2-x_(OH)_x_)][(H_2_O)_2-x_(OH)_x_]Cl (x = 0-2),K Ca Al Si O H Cl,,Not in a structural group,orthorhombic,Pm2_1n,413.6,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",17,Silicates Containing other Anions
Fizélyite,Fizelyite,Ag^1+^_5_Pb^2+^_14_Sb^3+^_21_S^2-^_48_,Ag Pb Sb S,R060175 R090068,Lillianite,monoclinic,P2_1/n,1500.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Flaggite,Flaggite,Pb^2+^_4_Cu^2+^_4_Te^6+^_2_(S^6+^O_4_)_2_O_11_(OH)_2_(H_2_O),Pb Cu Te S O H,R210026, ,triclinic,P1,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Flagstaffite,Flagstaffite,C_10_H_22_O_3_,C H O,, ,orthorhombic,Fdd2,0.0,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins",7,Oxides and Hydroxides
Flamite,Flamite,"Ca_8-x_(Na,K)_x_(SiO_4_)_4-x_(PO_4_)_x_",Ca Na K Si O P,R150148,Not in a structural group,hexagonal,P6_3,16.0,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",17,Silicates Containing other Anions
Fleetite,Fleetite,Cu_2_RhIrSb_2_,Cu Rh Ir Sb,,Not in a structural group,cubic,Fd-3m,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Fleischerite,Fleischerite,Pb^2+^_3_Ge(S^6+^O_4_)_2_(OH)_6_·3H_2_O,Pb Ge S O H,R120043,Fleischerite,hexagonal,P-62c,541.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Fleisstalite,Fleisstalite,Fe^2+^(S^4+^O_3_)·3H_2_O,Fe S O H,,Gravegliaite,orthorhombic,Pnma,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Fletcherite,Fletcherite,Cu^2+^Ni^3+^_2_S^2-^_4_,Cu Ni S,,Spinel,cubic,Fd3m,2716.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Flinkite,Flinkite,Mn^2+^_2_Mn^3+^As^5+^O_4_(OH)_4_,Mn As O H,,Allactite,orthorhombic,Pnma,1898.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Flinteite,Flinteite,K_2_Zn^2+^Cl_4_,K Zn Cl,, ,orthorhombic,Pna2_1,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",8,Halides
Florencite-(Ce),Florencite-(Ce),Ce^3+^Al_3_(PO_4_)_2_(OH)_6_,Ce Al P O H,,Alunite-crandallite,hexagonal,R-3m,2000.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals",0,Unclassified
Florencite-(La),Florencite-(La),La^3+^Al_3_(PO_4_)_2_(OH)_6_,La Al P O H,,Alunite-crandallite,,,2628.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM24 - Authigenic minerals in terrestrial sediments, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Florencite-(Nd),Florencite-(Nd),Nd^3+^Al_3_(PO_4_)_2_(OH)_6_,Nd Al P O H,,Alunite-crandallite,hexagonal,R-3m,28.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Florencite-(Sm),Florencite-(Sm),Sm^3+^Al_3_(PO_4_)_2_(OH)_6_,Sm Al P O H,,Alunite-crandallite,hexagonal,R-3m,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Florenskyite,Florenskyite,FeTiP,Fe Ti P,,Barringerite,orthorhombic,Pnma,,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases",2,"Carbides, Nitrides, Silicides and Phosphides"
Florensovite,Florensovite,Cu^1+^(Cr^3+^_1.5_Sb^5+^_0.5_)S^2-^_4_,Cu Cr Sb S,,Spinel,cubic,Fd3m,481.0,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Flörkeite,Florkeite,(K_3_Ca_2_Na)[Al_8_Si_8_O_32_]·12H_2_O,K Ca Na Al Si O H,R141068, ,triclinic,P-1,354.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks",16,Silicates Containing Aluminum and other Metals
Fluckite,Fluckite,CaMn^2+^(As^5+^O_3_OH)_2_·2H_2_O,Ca Mn As O H,R130556,Fluckite,triclinic,P-1,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",0,Unclassified
Fluellite,Fluellite,Al_2_(PO_4_)F_2_(OH)·7H_2_O,Al P O F H,R070473, ,orthorhombic,Fddd,1700.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Fluoborite,Fluoborite,Mg_3_(BO_3_)F_3_,Mg B O F,R061042, ,hexagonal,P6_3/m,2060.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",10,Borates with other anions
Fluocerite-(Ce),Fluocerite-(Ce),Ce^3+^F_3_,Ce F,R110058,Fluocerite,hexagonal,P6_322|P-3c1,2072.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",8,Halides
Fluocerite-(La),Fluocerite-(La),La^3+^F_3_,La F,,Fluocerite,hexagonal,"P-3c1|P6_3/mmc, P6_322",1910.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",8,Halides
Fluoralforsite,Fluoralforsite,Ba_5_(PO_4_)_3_F,Ba P O F,,Apatite,hexagonal,P6_3/m,,,0,Unclassified
Fluorannite,Fluorannite,KFe^2+^_3_(Si_3_Al)O_10_F_2_,K Fe Si Al O F,,Mica,monoclinic,C2/m,2072.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluorapatite,Fluorapatite,Ca_5_(PO_4_)_3_F,Ca P O F,R040098 R050122 R050194 R050192 R050274 R060070 R050340 R050369 R050401 R050529 R050617 R060184 R060333 R060421,Apatite,hexagonal|monoclinic,P6_3/m|P2_1/m,2969.0,"Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM21 - Chemical precipitation, PM23 - Subaerial alteration, PM24 - Authigenic minerals in terrestrial sediments, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals, PM49 - Oxic cellular biomineralization",0,Unclassified
Fluorapophyllite-(Cs),Fluorapophyllite-(Cs),CsCa_4_(Si_8_O_20_)F(H_2_O)_8_,Cs Ca Si O F H,,Apophyllite,tetragonal,P4/nnc,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Fluorapophyllite-(K),Fluorapophyllite-(K),KCa_4_Si_8_O_20_F·8H_2_O,K Ca Si O F H,R040095 R050021 R050084 R060554,Apophyllite,tetragonal,P4/mnc,2060.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluorapophyllite-(Na),Fluorapophyllite-(Na),NaCa_4_Si_8_O_20_F·8H_2_O,Na Ca Si O F H,,Apophyllite,orthorhombic,Pnnm,1349.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluorapophyllite-(NH_4_),Fluorapophyllite-(NH4),(N^3-^H_4_)Ca_4_(Si_8_O_20_)F·8H_2_O,N H Ca Si O F,,Apophyllite,tetragonal,P4/mnc,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM20 - Acidic volcanic rocks",17,Silicates Containing other Anions
Fluorarrojadite-(BaFe),Fluorarrojadite-(BaFe),Na_2_CaBaFe^2+^Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)F_2_,Na Ca Ba Fe Al P O H F,,Arrojadite,monoclinic,Cc,164.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Fluorarrojadite-(BaNa),Fluorarrojadite-(BaNa),BaNa_4_CaFe^2+^_13_Al(PO_4_)_11_(PO_3_OH)F_2_,Ba Na Ca Fe Al P O H F,,Arrojadite,monoclinic,Cc,390.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Fluorbarytolamprophyllite,Fluorbarytolamprophyllite,"(Ba,Sr,K)_2_[(Na,Fe^2+^)_3_Ti^4+^F_2_][Ti^4+^_2_(Si_2_O_7_)_2_O_2_]",Ba Sr K Na Fe Ti F Si O,,Seidozerite-Lamprophyllite,monoclinic,C2/m,441.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Fluorbritholite-(Ce),Fluorbritholite-(Ce),Ca_2_Ce^3+^_3_(SiO_4_)_3_F,Ce Ca Si O F,R070412,Apatite,hexagonal,P6_3,2680.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Fluorbritholite-(Nd),Fluorbritholite-(Nd),Ca_2_Nd_3_(SiO_4_)_3_F,Ca Nd Si O F,,Apatite,hexagonal,P6_3/m,,,17,Silicates Containing other Anions
Fluorbritholite-(Y),Fluorbritholite-(Y),"(Y,Ca)_5_(SiO_4_)_3_F",Y Ca Si O F,,Apatite,hexagonal,P6_3/m,2680.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Fluor-buergerite,Fluor-buergerite,NaFe^3+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_O_3_F,Na Fe Al Si O B F,R060132,Tourmaline,hexagonal,R3m,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM20 - Acidic volcanic rocks, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Fluorcalciobritholite,Fluorcalciobritholite,"(Ca,Ce^3+^)_5_(SiO_4_,PO_4_)_3_F",Ca REE Si O P F,R141089,Apatite,hexagonal,P6_3/m,2680.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Fluorcalciomicrolite,Fluorcalciomicrolite,"(Ca,Na)_2_Ta^5+^_2_O_6_F",Ca Na Ta O F,R050625 R070100 R070365 R080146 R090008 R120127 R120163 R130019 R130022,Pyrochlore-microlite,cubic,Fd-3m,2660.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",18,Niobates and Tantalates
Fluorcalciopyrochlore,Fluorcalciopyrochlore,"(Ca,Na)_2_(Nb^5+^,Ti^4+^)_2_O_6_F",Ca Na Nb Ti O F,R060288 R061003 R110198,Pyrochlore-Pyrochlore,cubic,Fd-3m,2070.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks",18,Niobates and Tantalates
Fluorcalcioroméite,Fluorcalcioromeite,"(Ca,Na)_2_Sb^5+^_2_O_6_F",Ca Na Sb O F,R120140,Pyrochlore-Roméite,cubic,Fd-3m,1898.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",24,Antimonates and Antimonites
Fluorcanasite,Fluorcanasite,K_3_Na_3_Ca_5_Si_12_O_30_F_4_·H_2_O,K Na Ca Si O F H,, ,monoclinic,Cm,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Fluorcaphite,Fluorcaphite,SrCaCa_3_(PO_4_)_3_F,Sr Ca P O F,,Apatite,hexagonal,P6_3,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites",0,Unclassified
Fluorcarletonite,Fluorcarletonite,KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_F·H_2_O,K Na Ca Si O C F H,R180028,Carletonite,unknown,,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",12,Carbonates with other anions
Fluorcarmoite-(BaNa),Fluorcarmoite-(BaNa),Ba[box]Na_2_Na_2_[box]CaMg_13_Al(PO_4_)_11_(PO_3_OH)F_2_,Ba Na Ca Mg Al P O H F,R220045,Arrojadite,monoclinic,Cc,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Fluorchegemite,Fluorchegemite,Ca_7_(SiO_4_)_3_F_2_,Ca Si O F,,Humite,,,3.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals",17,Silicates Containing other Anions
Fluor-dravite,Fluor-dravite,NaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Na Mg Al Si O B H F,R110031,Tourmaline,hexagonal,R3m,488.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluor-elbaite,Fluor-elbaite,Na(Li_1.5_Al_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Na Li Al Si O B H F,R130035,Tourmaline,hexagonal,R3m,2799.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluorellestadite,Fluorellestadite,Ca_5_(SiO_4_)_1.5_(S^6+^O_4_)_1.5_F,Ca Si O S F,R130124,Apatite,hexagonal,P6_3/m,513.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",26,Sulphates with Halide
Fluorite,Fluorite,CaF_2_,Ca F,R040099 R050045 R050046 R050115 R060548,Fluorite,cubic,Fm3m,4000.0,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",8,Halides
Fluorkyuygenite,Fluorkyuygenite,Ca_12_Al_14_O_32_[(H_2_O)_4_F_2_],Ca Al O H F,,Mayenite,cubic,I-43d,16.0,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",0,Unclassified
Fluorlamprophyllite,Fluorlamprophyllite,(SrNa)Ti^4+^_2_Na_3_Ti^4+^(Si_2_O_7_)_2_O_2_F_2_,Sr Na Ti Si O F,R130421,Seidozerite-Lamprophyllite,monoclinic,,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Fluor-liddicoatite,Fluor-liddicoatite,Ca(Li_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F,Ca Li Al Si O B H F,R060635 R060969,Tourmaline,hexagonal,R3m,2799.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Fluorluanshiweiite,Fluorluanshiweiite,KLiAl_1.5_[box]_0.5_(Si_3.5_Al_0.5_)O_10_F_2_,K Li Al Si O F,,Mica,monoclinic,C2/m,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Fluormayenite,Fluormayenite,Ca_12_Al_14_O_32_[[box]_4_F_2_],Ca Al O F,,Mayenite,cubic,I-43d,16.0,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals",0,Unclassified
Fluornatrocoulsellite,Fluornatrocoulsellite,(Na_1.5_Ca_0.5_)(Mg_1.5_Al_0.5_)F_6_F,Na Ca Mg Al F,,Pyrochlore,hexagonal,R-3m,2072.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",8,Halides
Fluornatromicrolite,Fluornatromicrolite,(Na_1.5_Bi^3+^_0.5_)Ta^5+^_2_O_6_F,Na Bi Ta O F,R060589 R130021,Pyrochlore-microlite,cubic,Fd3m,1800.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",18,Niobates and Tantalates
Fluornatropyrochlore,Fluornatropyrochlore,"(Na,Pb^2+^,Ca,REE^3+^,U^6+^)_2_Nb^5+^_2_O_6_F",Na Pb Ca REE U Nb O F,,Pyrochlore-Pyrochlore,cubic,Fd-3m,2100.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks",18,Niobates and Tantalates
Fluoro-cannilloite,Fluoro-cannilloite,CaCa_2_(Mg_4_Al)(Si_5_Al_3_)O_22_F_2_,Ca Mg Al Si O F,,Amphibole,monoclinic,C2/m,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",17,Silicates Containing other Anions
Fluorocronite,Fluorocronite,Pb^2+^F_2_,Pb F,,Fluorite,cubic,Fm3m,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",8,Halides
Fluoro-edenite,Fluoro-edenite,NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_,Na Ca Mg Si Al O F,R070003,Amphibole,monoclinic,C2/m,1349.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluorokinoshitalite,Fluorokinoshitalite,BaMg_3_Al_2_Si_2_O_10_F_2_,Ba Mg Al Si O F,,Mica,monoclinic,C2/m,2070.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Fluoro-leakeite,Fluoro-leakeite,NaNa_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_,Na Mg Al Li Si O F,,Amphibole,monoclinic,C2/m,1489.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Fluoro-nybøite,Fluoro-nyboite,NaNa_2_(Mg_3_Al_2_)(Si_7_Al)O_22_F_2_,Na Mg Al Si O F,,Amphibole,monoclinic,C2/m,,"Abiotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM17 - Marine authigenic Hadean minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites",17,Silicates Containing other Anions
Fluoro-pargasite,Fluoro-pargasite,NaCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_F_2_,Na Ca Mg Al Si O F,,Amphibole,monoclinic,C2/m,1349.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Fluoro-pedrizite,Fluoro-pedrizite,NaLi_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_,Na Li Mg Al Si O F,,Amphibole,monoclinic,C2/m,489.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Fluorophlogopite,Fluorophlogopite,KMg_3_(Si_3_Al)O_10_F_2_,K Mg Si Al O F,R040039 R040042 R040075,Mica,monoclinic|hexagonal,"Cm|P3_112, C2/m",2070.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Fluoro-richterite,Fluoro-richterite,Na(NaCa)Mg_5_Si_8_O_22_F_2_,Na Ca Mg Si O F,R040019 R060290,Amphibole,monoclinic,I2/m,1240.0,"Abiotic, Primary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases",17,Silicates Containing other Anions
Fluoro-riebeckite,Fluoro-riebeckite,[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_F_2_,Na Fe Si O F,,Amphibole-amphiboles sodic,monoclinic,C2/m,2072.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks",17,Silicates Containing other Anions
Fluoro-taramite,Fluoro-taramite,Na(NaCa)(Mg_3_Al_2_)(Si_6_Al_2_)O_22_F_2_,Na Ca Mg Al Si O F,,Amphibole,monoclinic,C2/m,,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism",17,Silicates Containing other Anions
