# Wavenumber	Intensity
1.150925299000000024e+02	3.134963059405924923e+01
1.153883984999999939e+02	5.614921316792015205e+01
1.156842544000000004e+02	5.594882136448018173e+01
1.159800975999999935e+02	5.574845605141126725e+01
1.162759281000000016e+02	6.548118090790467249e+00
1.165717458999999963e+02	2.834780833911986520e+01
1.168675510000000060e+02	2.814752765224682207e+01
1.171633434999999963e+02	4.794727688318403125e+01
1.174591231999999934e+02	5.574705688212998211e+01
1.177548902000000055e+02	5.554686849448796693e+01
1.180506445999999983e+02	4.334671256008743967e+01
1.183463863000000060e+02	4.314658991320322912e+01
1.186421152000000063e+02	7.294650138377562598e+01
1.189378315000000015e+02	7.274644779743096024e+01
1.192335350999999974e+02	4.554642997250141434e+01
1.195292259999999942e+02	4.534644872004435001e+01
1.198249040999999977e+02	4.514650484656283425e+01
1.201205697000000043e+02	3.494659915402587558e+01
1.204162225000000035e+02	3.474673243988718241e+01
1.207118626000000035e+02	3.454690549810641187e+01
1.210074900000000042e+02	2.134711911916872396e+01
1.213031047999999998e+02	2.114737409010490410e+01
1.215987068999999963e+02	2.094767119581103998e+01
1.218942961999999994e+02	3.574801121906932622e+01
1.221898728999999975e+02	3.954839494056739113e+01
1.224854368999999963e+02	3.934882313741798043e+01
1.227809883000000042e+02	3.014929658277969793e+01
1.230765269000000046e+02	2.994981604587655966e+01
1.233720528999999999e+02	2.475038229291851621e+01
1.236675661000000019e+02	4.855099608712066583e+01
1.239630666999999988e+02	4.835165818922234848e+01
1.242585545999999965e+02	4.815236935510858984e+01
1.245540297999999950e+02	4.695313033582976914e+01
1.248494924000000026e+02	3.275394187762128695e+01
1.251449422000000027e+02	3.255480472202327746e+01
1.254403793999999976e+02	4.835571960730101182e+01
1.257358038999999934e+02	5.715668726846490699e+01
1.260312157000000042e+02	4.795770843568959663e+01
1.263266148000000015e+02	5.675878383343456335e+01
1.266220012999999938e+02	7.155991418136409266e+01
1.269173750000000069e+02	7.136110019346631361e+01
1.272127361000000008e+02	6.616234257657379203e+01
1.275080844999999954e+02	4.696364203038319829e+01
1.278034202999999991e+02	2.876499924797496988e+01
1.280987432999999953e+02	2.456641491773359576e+01
1.283940537000000006e+02	2.236788972516694685e+01
1.286893513999999925e+02	2.416942435332657624e+01
1.289846364999999935e+02	4.697101948302736218e+01
1.292799087999999870e+02	4.677267579266776920e+01
1.295751684999999895e+02	4.657439395594883536e+01
1.298704155000000071e+02	4.337617464189474958e+01
1.301656499000000053e+02	4.317801851487263320e+01
1.304608714999999961e+02	6.497992623491165887e+01
1.307560804999999959e+02	6.478189845772362787e+01
1.310512768000000108e+02	3.758393583252279768e+01
1.313464605000000063e+02	3.738603900204589081e+01
1.316416313999999943e+02	5.318820860527125660e+01
1.319367898000000139e+02	5.499044527743933486e+01
1.322319353999999976e+02	5.479274964847184037e+01
1.325270682999999963e+02	7.059512234279179665e+01
1.328221886000000040e+02	6.439756397934331744e+01
1.331172962999999925e+02	6.420007517001090491e+01
1.334123912000000018e+02	4.900265652023961138e+01
1.337074734999999919e+02	4.880530862905402500e+01
1.340025430999999969e+02	7.860803209057883123e+01
1.342976001000000110e+02	8.841082749405859431e+01
1.345926444000000117e+02	1.042136954208772295e+02
1.348876759999999990e+02	1.040166364435774540e+02
1.351826949000000013e+02	6.781965112428088105e+01
1.354777012000000127e+02	5.962274001470780149e+01
1.357726948000000107e+02	5.942590365979606304e+01
1.360676757999999893e+02	5.922914259852154828e+01
1.363626441000000113e+02	7.003245736391806986e+01
1.366575996999999916e+02	7.383584848309635618e+01
1.369525427000000093e+02	7.363931647616436749e+01
1.372474730000000136e+02	4.844286185584667237e+01
1.375423906999999986e+02	4.824648512750411555e+01
1.378372956000000045e+02	4.505018679165277717e+01
1.381321880000000135e+02	6.585396734398443641e+01
1.384270675999999867e+02	6.565782727568659993e+01
1.387219345999999973e+02	6.546176707136180539e+01
1.390167889999999886e+02	5.926578720904706188e+01
1.393116306000000009e+02	5.906988816023363142e+01
1.396064596999999878e+02	5.887407039048639490e+01
1.399012759999999957e+02	5.167833435946397458e+01
1.401960797000000127e+02	5.148268052093760616e+01
1.404908708000000104e+02	5.428710932351111751e+01
1.407856491999999946e+02	6.209162121064025541e+01
1.410804148999999938e+02	6.489621662035210647e+01
1.413751680000000022e+02	8.270089598446463697e+01
1.416699083999999971e+02	9.550565972830634109e+01
1.419646362000000011e+02	9.531050826893613248e+01
1.422593512999999916e+02	7.811544201386266195e+01
1.425540537999999913e+02	7.792046136106375798e+01
1.428487436000000059e+02	1.037255667007059401e+02
1.431434208000000012e+02	1.035307584151640867e+02
1.434380853000000116e+02	1.273360368764408577e+02
1.437327371000000085e+02	1.351414024461861345e+02
1.440273762999999860e+02	1.349468554733169867e+02
1.443220029000000011e+02	1.257523962932364157e+02
1.446166168000000027e+02	1.255580252278526814e+02
1.449112179999999910e+02	1.373637425864989154e+02
1.452058065999999883e+02	1.371695486659524477e+02
1.455003825999999947e+02	1.369754437492547368e+02
1.457949458999999877e+02	1.587814281057306971e+02
1.460894964999999956e+02	1.585875019910077981e+02
1.463840345000000127e+02	1.613936656448350959e+02
1.466785599000000104e+02	1.611999192911034697e+02
1.469730725999999947e+02	1.790062631375650426e+02
1.472675726999999881e+02	1.938126973758519398e+02
1.475620600999999965e+02	2.096192221796959529e+02
1.478565349000000140e+02	2.444258377034479963e+02
1.481509969999999896e+02	2.592325440804971777e+02
1.484454465000000027e+02	2.760393414197905031e+02
1.487398833000000025e+02	3.318462298043515375e+02
1.490343075000000113e+02	3.316532092895998858e+02
1.493287191000000007e+02	3.354602798977715565e+02
1.496231180000000052e+02	4.672674416179377204e+02
1.499175042999999903e+02	4.840746944056231769e+02
1.502118778999999904e+02	4.938820381696261848e+02
1.505062388999999996e+02	4.966894727703373746e+02
1.508005871999999954e+02	5.624969980187595411e+02
1.510949229000000003e+02	5.683046136762264950e+02
1.513892460000000142e+02	5.921123194478221876e+02
1.516835563999999863e+02	5.919201149818002250e+02
1.519778541999999959e+02	5.987279998672037209e+02
1.522721393999999862e+02	5.985359736338840548e+02
1.525664118999999914e+02	5.983440357518194332e+02
1.528606717000000117e+02	4.701521856311345573e+02
1.531549190000000067e+02	4.689604226221201770e+02
1.534491535999999883e+02	4.687687460280517371e+02
1.537433755000000133e+02	4.635771551053088615e+02
1.540375849000000130e+02	4.203856490633949079e+02
1.543317815999999993e+02	4.201942270654557205e+02
1.546259656000000007e+02	3.740028882325985933e+02
1.549201371000000051e+02	3.418116316439118236e+02
1.552142958000000021e+02	2.906204563410836954e+02
1.555084420000000023e+02	2.404293613316217488e+02
1.558025754999999890e+02	2.102383455939713031e+02
1.560966964000000132e+02	2.000474080825339342e+02
1.563908046999999897e+02	1.998565477306879075e+02
1.566849003000000096e+02	1.906657634518071518e+02
1.569789833000000101e+02	2.014750541392802461e+02
1.572730536999999913e+02	2.012844186674295770e+02
1.575671113999999875e+02	2.010938558904300635e+02
1.578611564999999928e+02	1.489033646423283699e+02
1.581551890000000071e+02	1.487129437370618916e+02
1.584492089000000021e+02	1.485225919736777769e+02
1.587432161000000121e+02	1.203323081363528217e+02
1.590372107000000028e+02	1.151420909944114328e+02
1.593311927000000026e+02	1.119519393051450606e+02
1.596251619999999889e+02	8.276185181433118032e+01
1.599191187000000127e+02	9.057182725655252398e+01
1.602130627999999888e+02	5.538186435811542196e+01
1.605069943000000023e+02	5.419196183626934271e+01
1.608009131000000025e+02	5.400211840272561403e+01
1.610948193000000117e+02	8.581233276377702168e+01
1.613887129000000016e+02	8.562260362031611294e+01
1.616825939000000005e+02	8.543292966465480731e+01
1.619764623000000086e+02	4.924330958054235907e+01
1.622703180000000032e+02	7.405374204318422926e+01
1.625641611000000069e+02	7.386422572286210197e+01
1.628579915999999912e+02	9.367475928245221439e+01
1.631518093999999905e+02	9.348534137744400141e+01
1.634456146999999930e+02	9.329597065395989830e+01
1.637394073000000105e+02	5.510664574877364430e+01
1.640331873000000087e+02	5.491736528932926831e+01
1.643269546999999875e+02	5.372812789756017082e+01
1.646207095000000038e+02	5.353893218990799596e+01
1.649144516000000067e+02	5.434977677744245739e+01
1.652081810999999902e+02	5.416066026587952820e+01
1.655018980000000113e+02	4.097158125550026853e+01
1.657956023000000130e+02	4.078253834116981125e+01
1.660892939999999953e+02	4.059353011365578823e+01
1.663829730999999867e+02	5.440455515964765709e+01
1.666766394999999932e+02	2.421561206177625536e+01
1.669702934000000027e+02	6.702669939723205061e+01
1.672639345999999989e+02	7.583781574078398080e+01
1.675575632000000041e+02	7.564895966049857634e+01
1.678511791999999900e+02	5.946012971685831872e+01
1.681447826000000134e+02	4.227132446278142197e+01
1.684383732999999950e+02	4.208254244524016485e+01
1.687319515000000081e+02	4.789378220697949473e+01
1.690255170000000078e+02	4.770504228653692280e+01
1.693190698999999881e+02	4.051632121766033379e+01
1.696126103000000001e+02	3.832761752932731270e+01
1.699061379999999986e+02	3.813892974646421408e+01
1.701996531000000061e+02	4.995025639016455443e+01
1.704931555999999944e+02	6.176159597770833898e+01
1.707866454999999917e+02	6.157294702138051434e+01
1.710801227000000040e+02	6.138430802729078550e+01
1.713735873999999910e+02	3.919567749539135093e+01
1.716670394999999871e+02	3.400705391949645673e+01
1.719604788999999982e+02	2.581843578950042684e+01
1.722539058000000125e+02	2.562982159189664344e+01
1.725473200000000134e+02	5.344120981059757014e+01
1.728407215999999949e+02	6.325259892695214603e+01
1.731341107000000079e+02	5.306398741696568777e+01
1.734274871000000076e+02	4.787537375031922693e+01
1.737208508999999879e+02	3.868675639138757560e+01
1.740142021000000057e+02	3.849813379975762473e+01
1.743075407999999982e+02	3.830950443114852533e+01
1.746008668000000057e+02	3.712086673742908260e+01
1.748941801999999939e+02	3.693221916663787852e+01
1.751874809999999911e+02	4.574356016310139239e+01
1.754807691999999975e+02	4.555488816745355507e+01
1.757740448000000129e+02	4.536620161575331167e+01
1.760673078000000089e+02	3.517749893950485784e+01
1.763605582000000140e+02	3.498877856567548861e+01
1.766537959999999998e+02	2.280003891771491453e+01
1.769470212999999887e+02	2.261127841557436113e+01
1.772402338999999927e+02	2.342249547692563283e+01
1.775334339000000057e+02	2.323368851717930283e+01
1.778266212999999993e+02	2.304485594940399551e+01
1.781197961000000021e+02	5.855996184345713118e+00
1.784129583000000139e+02	1.667107630445684663e+00
1.787061080000000004e+02	1.478188695559765620e+00
1.789992450000000019e+02	2.028923778737691919e+01
1.792923694000000125e+02	3.510025331343877042e+01
1.795854812999999979e+02	4.091123367925831644e+01
1.798785804999999982e+02	4.072217728683858695e+01
