File,Prediction,Confidence
Steno-CT-33_01_Y032_X180.txt,Class B,0.92
Steno-CT-33_01_Y035_X126.txt,Class B,0.99
Steno-CT-33_01_Y012_X276.txt,Class B,0.98
Steno-CT-33_01_Y016_X081.txt,Class B,0.98
Steno-CT-33_01_Y045_X181.txt,Class B,0.91
Steno-CT-33_01_Y023_X054.txt,Class B,0.69
Steno-CT-33_01_Y034_X132.txt,Class B,0.93
Steno-CT-33_01_Y013_X262.txt,Class B,0.94
Steno-CT-33_01_Y017_X095.txt,Class B,0.91
Steno-CT-33_01_Y044_X195.txt,Class B,0.95
Steno-CT-33_01_Y046_X139.txt,Class B,0.97
Steno-CT-33_01_Y056_X210.txt,Class B,0.99
Steno-CT-33_01_Y022_X040.txt,Class B,0.87
Steno-CT-33_01_Y015_X039.txt,Class B,0.97
Steno-CT-33_01_Y017_X081.txt,Class B,0.98
Steno-CT-33_01_Y044_X181.txt,Class B,1.0
Steno-CT-33_01_Y022_X054.txt,Class B,0.94
Steno-CT-33_01_Y056_X204.txt,Class B,0.98
Steno-CT-33_01_Y034_X126.txt,Class B,1.0
Steno-CT-33_01_Y013_X276.txt,Class B,0.93
Steno-CT-33_01_Y016_X095.txt,Class B,0.93
Steno-CT-33_01_Y045_X195.txt,Class B,1.0
Steno-CT-33_01_Y047_X139.txt,Class B,0.88
Steno-CT-33_01_Y023_X040.txt,Class B,0.94
Steno-CT-33_01_Y014_X039.txt,Class B,0.95
Steno-CT-33_01_Y035_X132.txt,Class B,0.79
Steno-CT-33_01_Y012_X262.txt,Class B,0.97
Steno-CT-33_01_Y014_X011.txt,Class B,0.91
Steno-CT-33_01_Y023_X068.txt,Class B,0.97
Steno-CT-33_01_Y047_X111.txt,Class B,0.93
Steno-CT-33_01_Y049_X246.txt,Class B,0.9
Steno-CT-33_01_Y051_X063.txt,Class B,0.99
Steno-CT-33_01_Y025_X233.txt,Class B,0.92
Steno-CT-33_01_Y002_X163.txt,Class B,0.97
Steno-CT-33_01_Y054_X280.txt,Class B,0.98
Steno-CT-33_01_Y015_X005.txt,Class B,0.92
Steno-CT-33_01_Y046_X105.txt,Class B,0.93
Steno-CT-33_01_Y050_X077.txt,Class B,0.91
Steno-CT-33_01_Y024_X227.txt,Class B,0.98
Steno-CT-33_01_Y003_X177.txt,Class B,0.94
Steno-CT-33_01_Y048_X252.txt,Class B,0.99
Steno-CT-33_01_Y024_X233.txt,Class B,0.96
Steno-CT-33_01_Y050_X063.txt,Class B,0.98
Steno-CT-33_01_Y003_X163.txt,Class B,0.86
Steno-CT-33_01_Y048_X246.txt,Class B,0.99
Steno-CT-33_01_Y015_X011.txt,Class B,0.91
Steno-CT-33_01_Y022_X068.txt,Class B,0.96
Steno-CT-33_01_Y056_X238.txt,Class B,1.0
Steno-CT-33_01_Y046_X111.txt,Class B,0.93
Steno-CT-33_01_Y049_X252.txt,Class B,0.98
Steno-CT-33_01_Y025_X227.txt,Class B,0.95
Steno-CT-33_01_Y051_X077.txt,Class B,0.98
Steno-CT-33_01_Y002_X177.txt,Class B,0.96
Steno-CT-33_01_Y055_X280.txt,Class B,0.9
Steno-CT-33_01_Y014_X005.txt,Class B,1.0
Steno-CT-33_01_Y047_X105.txt,Class B,0.97
Steno-CT-33_01_Y023_X097.txt,Class B,0.99
Steno-CT-33_01_Y029_X137.txt,Class B,0.9
Steno-CT-33_01_Y016_X042.txt,Class B,0.91
Steno-CT-33_01_Y045_X142.txt,Class B,0.85
Steno-CT-33_01_Y010_X219.txt,Class B,0.98
Steno-CT-33_01_Y027_X260.txt,Class B,0.97
Steno-CT-33_01_Y053_X030.txt,Class B,0.8
Steno-CT-33_01_Y037_X149.txt,Class B,0.87
Steno-CT-33_01_Y000_X130.txt,Class B,0.98
Steno-CT-33_01_Y022_X083.txt,Class B,0.92
Steno-CT-33_01_Y017_X056.txt,Class B,0.99
Steno-CT-33_01_Y044_X156.txt,Class B,0.92
Steno-CT-33_01_Y028_X123.txt,Class B,0.94
Steno-CT-33_01_Y003_X188.txt,Class B,0.91
Steno-CT-33_01_Y050_X088.txt,Class B,0.99
Steno-CT-33_01_Y009_X028.txt,Class B,0.98
Steno-CT-33_01_Y026_X274.txt,Class B,0.98
Steno-CT-33_01_Y052_X024.txt,Class B,0.96
Steno-CT-33_01_Y001_X124.txt,Class B,0.99
Steno-CT-33_01_Y011_X219.txt,Class B,1.0
Steno-CT-33_01_Y052_X030.txt,Class B,0.98
Steno-CT-33_01_Y026_X260.txt,Class B,0.98
Steno-CT-33_01_Y036_X149.txt,Class B,0.96
Steno-CT-33_01_Y001_X130.txt,Class B,0.96
Steno-CT-33_01_Y022_X097.txt,Class B,0.92
Steno-CT-33_01_Y017_X042.txt,Class B,0.97
Steno-CT-33_01_Y044_X142.txt,Class B,0.98
Steno-CT-33_01_Y028_X137.txt,Class B,0.99
Steno-CT-33_01_Y002_X188.txt,Class B,0.97
Steno-CT-33_01_Y051_X088.txt,Class B,0.96
Steno-CT-33_01_Y053_X024.txt,Class B,0.97
Steno-CT-33_01_Y027_X274.txt,Class B,0.95
Steno-CT-33_01_Y000_X124.txt,Class B,0.99
